yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
20052,0.00090515579692430,-1.755366612,-1.751433634,-1.274902891,0.326979057,0.00536596,0.0297,0.08594521,0.0132,-0.009,0.006207967,0.036343668
20053,0.00971621365775313,-1.757632465,-1.744179806,-1.266859058,0.31789151,0.006728709,0.0342,-0.030378724,0.0122,-0.009,0.022107969,0.036685172
20054,0.00276597973935419,-1.749649625,-1.74281887,-1.252273449,0.313477957,0.003071206,0.0389,0.014226663,0.0072,-0.0095,-0.010060362,0.036541573
20061,0.01094220925864100,-1.754582781,-1.738685519,-1.250857593,0.316009441,0.002160817,0.0451,-0.042812503,0.0056,-0.0088,0.015243902,0.037336362
20062,-0.01314555587000530,-1.733970088,-1.742310733,-1.231774134,0.31485029,-0.002186473,0.0479,-0.014742967,0.0052,-0.0089,0.015515516,0.037526464
20063,0.01651703638725030,-1.743811765,-1.721927154,-1.230499966,0.300593284,-0.009493336,0.0481,0.068251725,0.0003,-0.0092,0,0.037697545
20064,0.02056684715161310,-1.75584791,-1.729836527,-1.24055721,0.2816824,-0.015031806,0.0485,0.004285388,0.0006,-0.009,-0.00542139,0.03761937
20071,-0.00437779157157933,-1.746113307,-1.745330121,-1.232689035,0.269050013,-0.012480691,0.0494,0.008125405,-0.0001,-0.0097,0.017601586,0.037819575
20072,0.01930354077484460,-1.759255975,-1.734747566,-1.248045905,0.24789561,-0.011057478,0.0461,-0.020663803,0.006,-0.0091,0.014609062,0.038169551
20073,0.00261712044684700,-1.752758178,-1.746049947,-1.28834127,0.239207437,-0.013010957,0.0389,0.050123798,0.01,-0.0085,0.000662341,0.038264438
20074,-0.01966313983502710,-1.723849934,-1.740786737,-1.346099478,0.250582973,-0.041591437,0.03,0.059942626,0.015,-0.0116,0.007415224,0.038345929
20081,-0.04566679282592490,-1.669644227,-1.715013999,-1.340490971,0.254057567,-0.052877042,0.0126,0.033983606,0.0306,-0.0138,0.016625721,0.037991059
20082,-0.01582669590763870,-1.649146524,-1.663397908,-1.396500404,0.274491388,-0.048372532,0.0186,-0.023711689,0.0274,-0.0139,0.024760219,0.037579893
20083,-0.04062356525487730,-1.60662659,-1.647003942,-1.404547101,0.287123548,-0.050314112,0.0113,0.033081862,0.033,-0.0166,-0.000146242,0.036420213
20084,-0.10823151419616600,-1.502688472,-1.613713119,-1.783205039,0.354984225,-0.024768004,0.0003,0.206889079,0.03,-0.0338,-0.039102673,0.033912006
20091,-0.05295492724062860,-1.466485949,-1.520361784,-2.06560802,0.446140845,-0.037758136,0.0021,-0.060794013,0.0334,-0.0292,0.011801473,0.031080316
